T1,T2,T3,T4,T5,T6,final_stability,final_resources,final_workload,final_confidence,floor_hit,tags
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,100,0,35,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,95,0,35,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,85,0,35,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),95,0,35,100,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,35,100,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,85,0,35,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Controlled Response,75,10,35,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Protect Reserves,65,20,35,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Calm),75,10,35,100,,Preventative Management | Public Confidence First | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Pushy),85,0,35,100,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Commit Remaining Resources,100,0,35,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Controlled Response,95,0,35,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Protect Reserves,85,10,35,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Calm),95,0,35,100,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Pushy),100,0,35,100,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
